Question,A,B,C,D,Explanation,Answer
A 30-year-old man is scheduled for a laparoscopic cholecystectomy for biliary colic. He repos a family history of prolonged paralysis during general anesthesia. Which of the following medications should be avoided during his procedure?,Succinylcholine,Vecuronium,Pancuronium,Etomidate,"The family history is suggestive of a pseudocholinesterase deficiency which prolongs the effects of succinylcholine, a depolarizing neuromuscular blocking agent, as well as of mivacurium, a non-depolarizing agent. Vecuronium, pancuronium, and cis-atracurium are other non-depolarizing agents that are not affected by this enzyme deficiency. Etomidate is used for rapid sequence induction and is not affected by pseudocholinesterase deficiency; etomidate does block steroid synthesis and has been associated with acute adrenal insufficiency",A
Which of the following statement is not true about etomidate:-,It is an intravenous anesthetic,Precipitates coronary insufficiency,Inhibits coisol synthesis,Causes pain at site of injection,"Etomidate is cardiovascular stable ETOMIDATE Etomidate is a carboxylated imidazole - containing anesthetic compound structurally unrelated to any other IV anesthetics. Aqueous solution of etomidate is unstable at physiologic pH and a formulated in a 0.2% solution with 35% prophylene glycol. IV injection causes pain on injection, veno irritation and hemolysis. CNS - Decreases CMRO2, CBF and ICP Cerebroprotective Decreases EEG activity EVS - Minimal cardiorespiratory depression even in the presence of cardiovascular and pulmonary disease. No histamine release. R.S - Respiratory depression Blunts hypoxic / hypercapnic drive Bronchodilator Hepatic / Renal - Side Effects 1. Adrenal coex suppression Etomidate inhibits the activity of 11- B hydroxyl- lase, an enzyme necessary for the synthesis of coisol, aldosterone, 17 - hydroxyl - progesterone and coicosterone. 2. Pain on injection 3. High incidence of postoperative nausea and vomiting 4. Myoclonic activity 5. Inhibit platelet function Uses:- Induction agent of choice for poor- ri9sk patients with cardiorespiratory disease.",B
Sudden decreasd end tidal CO2 in GA causes,Cardiac arrest,Pulmonary hypeension,Malignant hypehermia,Malignant extubation,"Complications of Anaesthesia During anaesthesia: > Respiratory depression - Salivation, respiratory secretions > Cardiac arrhythmias > Fall in BP >Aspiration >Laryngospasm and >asphyxia >Awareness > Delirium and convulsion > Fire and explosion",A
You are assessing the airway of a patient preoperatively. On opening the mouth visibility is limited upto the soft palate. As per Mallampati modified classification what is the grade of the airway?,Grade I,Grade II,Grade III,Grade IV,"The grades and structures visible are given below: Grade Structures visible opening mouth I Faucial pillars, soft palate and uvula II Faucial pillars, soft palate, uvula marked by the base of the tongue III Soft palate only IV Hard palate is only visible",C
"A 42 yr old patient came to AIIMS emergency dept with history difficulty in breathing after 7months she was discharged from BURNS UNIT O/E O2sat was decreasing to 80%, RR-20/min BP-110/74mmHg & on local examination of neck there was post burns contracture of neck with restricted neck extension ideal method of intubation in this case....?",Laryngeal mask airway,Nasal intubation after intravenous induction,Fiber optic intubation,Tracheostomy,"Fibre optic devise is ideal for intubation in difficult / inadequate mouth opening , inadequate neck movement. indications Difficult intubation (e.g. awake fiberoptic intubation) Suction of secretions or blood from the airways Guide placement of a percutaneous tracheostomy, double-lumen tube, bronchial blockers and endobronchial valves Treatment of specific disorders (e.g. control bleeding from focal lesions) DESCRIPTION Flexible long, thin plastic tube enclosing a fibreoptic system that attaches to a light source and transmits views from the distal tip to an eyepiece eyepiece can attach to a camera and/or video system that displays images on a screen flexible tip can be moved to negotiate passage of the tip into the airways using a lever controlled by the operators hand (Bowden cable system) suctioning channel connected to the tip and controlled on the proximal hand piece instrumentation po (for inseing instruments such as brushes or biopsy forceps or injecting saline) ergonomic design of the control section that fits the hand 120deg field of view with 180deg up and 130deg down angulation Range of tip diameters (e.g. 2.8 mm to 5.9 mm for Olympus scopes), sizes of instrument channels and lengths (e.g. longer length with smaller diameter needed for double-lumen tubes) Accessories can be either disposable or autoclavable (e.g. suction connector; instrument channel cover)",C
Which of the following are features of pulmonary oxygen toxicity?,Increased capillary endothelial permeability,Decreased mucociliary transpo in airways,Inhibition of phagocytosis function of alveolar macrophages,All the above,"Ans. is 'd' i.e., All the above Prolonged inhalation of high concentration of 0, is known to damage the lungs. Pulmonary toxicity of 0, is related to the oxygen tension in alveoli. The pulmonary oxygen toxicity has the following features Increased capillary endothelial permeability causing accumulation of fluid in the interstitial space. Depression of mucociliary transpo function of airway Inhibition of phagocytosis of alveolar macrophages Changes in the surfactant activity and its production.",D
Crystalloid required for replacement of 300ml of blood loss is:,300ml,600ml,900ml,1200ml,"For crystalloid replacement ratio is 3:1 For colloid replacement ratio is 1:1 Distribution of Body fluids. Total body fluid accounts for about 60% of the lower body weight in male and 50% of the lower body weight in females. Intracellular fluids accounts for 40% of total body fluids and extracellular accounts for 20% of which only 5% is intravascular. Thus volume of blood accounts for 6% to 7% of body weight and only 11-12% of total body fluid. The meager distribution of total body fluid in the vascular compament is an impoant factor in the intolerance to blood loss. Plasma vs interstitial fluid Extracellular fluid accounts for about 20% of the total body fluid, and is composed of extra vascular (interstitial) and intravascular (plasma) fluid compament Comparison of interstitial fluid and plasma volumes Plasma volume is about 25% of interstitial fluid volume. This relation is impoant for understanding volume effects of two types of fluid crystalloids and colloids. Crystalloid achieves a rapid equilibrium throughout the extracellular fluid compament thus only 25% remains intravascular 75% distribute in extracellular space. Colloids does not cross blood vessels thus remains in the intravascular space.",C
Which of the are the following contraindication for halothane used:,Male sex,Middle age,Recent halothane use,All,C i.e. Recent halothane use,C
Following is true about halothane except?,Volatile liquid with sweet odour,Sensitises hea to adrenaline,Constricts bronchii,Causes malignant hypehermia,"Ans. is 'c' i.e., Constricts bronchii Halothane It is a volatile liquid with sweet odour, nonirritating and noninflammable. It is a potent anaesthetic with poor analgesic and muscle relaxant propeies. Halothane causes direct depression of myocardial contractility by reducing intracellular Ca. It causes fall in BP and CO. Hea rate decreases due to vagal stimulation. It tends to sensitize the hea to arrhythmogenic action of adrenaline - contraindicated in pheochromocytoma. It causes greater depression of respiration and ventilation perfusion mismatch. It dilates the bronchi - inhalation agent of choice in asthmatics (intravaneous anaesthetic of choice in asthmatics is ketamine). It is a hepatotoxic drug and can also cause malignant hypehermia (Succinylcholine accentuate it). Recovery is smooth and reasonably quick. It causes postanaesthetic shivering and chills. It inhibits intestinal and uterine contractions - agent of choice for assisting external or internal version during late pregnancy. Because its uterine relaxant action it is contraindicated during labour. It is paicularly suitable for induction and maintenance in children and as maintenance anaesthetic in adults.",C
"Post dural puncture headache, true about – a) Common in elderlyb) Small bore needle prevents itc) Early ambulation increases incidenced) Occurs immediately after spinal anaesthesiae) Blood patch is the first line of treatment",c,bd,ab,ac,"Post dural puncture headache is due to CSF leak which results in decrease CSF pressure (↓ ICT). The onset of headache is usually 12-72 hours after the procedure, However may also present immediately. Predisposing factors includes young age (not elderly), female sex, pregnancy, large bore needle (single most important predisposing factor) and multiple punctures.
Use of small bore needle can prevent PDPH. Initially conservative treatment is given. If conservative treatment fails epidural blood patch can be given (not as the first line treatment).",B
