Question,A,B,C,D,Explanation,Answer
Most common malignancy of the endocrine system?,Thyroid cancer,Pancreatic cancer,Pituitary adenoma,Adrenal malignancy,"Ans. (a) Thyroid cancerRef: Harrison 18th ed. / 341* Thyroid carcinoma is the most common malignancy of the endocrine system.* Differentiated tumors, such as papillary thyroid cancer (PTC) or follicular thyroid cancer (FTC), are often curable, and the prognosis is good for patients identified with early-stage disease.* In contrast, anaplastic thyroid cancer (ATC) is aggressive, responds poorly to treatment, and is associated with a bleak prognosis.",A
Most common type of renal stone?,Calcium oxalate,Triple phosphate,Struvite stone,Urate stone,"Ans. (a) Calcium oxalateRef.:Bailey and love 26th ed. /1292Types of Renal Stones (Urolithiasis):* Calcium stones (75-85%)# Made of calcium oxalate or Calcium oxalate plus calcium phosphate.* Struvite stone/Triple phosphate stone (15% of cases)# Also known as magnesium-ammonium-phosphate stone# Formed mainly after infection by urea splitting bacteria (Proteus and some staphylococci) - which causes alkaline urine - leads to precipitation of Mg -NH3 - PO4# Causes Staghorn calculi, which occupy large position of renal pelvis.* Uric acid stone# Common in patients with hyperuricemia (except in patients with gout) and in patients with rapid cell turnover (Example- in Leukemia patients).# Cause: Urine of pH less than 5.5 (uric acid is insoluble in acidic urine) a leading to saturation# It is radiolucent stone.* Cystine stone# Due to genetic defect in renal absorption of amino acid cysteine a leading to cystinuria.",A
True about Thyroglossal tract/cyst.,Diverticulum attached to base of tongue,Treatment is Sistrunk operation,Enucleate cyst along with thyroglossal tract and remove portion of hyoid bone (central portion),All of the above,"Thyroglossal cyst/tract
→ Thyroglossal duct cyst.
→ Diverticulum attached to base of tongue.
→ Treatment is Sistrunk operation.
→ Enucleate cyst along with thyroglossal tract and remove portion of hyoid bone (central portion)",D
Pancoast tumour is seen with cancer of -,Apical lobe of lung,Lingual lobe,Thyroid,Pyriform fossa,"Answer is 'a' i.e. Apical lobe of lung 'Pancoast's (or superior sulcus tumor) syndrome results from local extension of a tumor growing in the apex of the lung with involvement of the eighth cervical and first and second thoracic nerves, with shoulder pain that characteristically radiates in the ulnar distribution of the arm, often with radiologic destruction of the first and second ribs.' - Harrison",A
"All are true regarding Early Post-cibal syndrome, except -",Distension of abdomen,Managed conservatively,Hypermotility of intestine is common,Surgery is usually indicated,"Most of the cases of post-cibal or dumping syndrome can be managed by dietary management or medications (anticholinergic agents, antidiarrhoeal, octreotide).
Only a small percentage of patients need surgery.",D
"If a patient with Raynaud's disease immerses his hand in cold water, the hand will:",Turn white,Become red,Become blue,Remain unchanged,"When a patient with Raynaud's disease immerses his hand in cold water, the hand will turn white. Raynaud's phenomenon is characterized by episodic digital ischemia, manifested clinically by sequential development of digital blanching, cyanosis, and rubor of the fingers or toes after cold exposure and subsequent rewarming. Ref: Harrison's Principles of Internal Medicine, 18th Edition, Page 2071.",A
Thyroid carcinoma with good prognosis is?,Medullary,Papillary,Follicular,Anaplastic,"ANSWER: (B) PapillaryREF: Schwartz's Principles of Surgery 9th edition chapter 38, American Cancer Society. In turn citing: AJCC Cancer Staging Manual (7th ed), National Cancer Database in the US by F. Griinwald; Biersack, H. J.; Gr-umvald, F. (2005). Thyroid cancer Springer ISBN 3-540-22309-6 Page 10Prognosis depends mainly on the type of cancer and cancer stage.Thyroid cancer type 5-year survival 10-yearsurvivalStage IStage IIStage IIIStage IVOverallOverallPapillary100%100%93%51%96%93%Follicular100%100%71%50%91%85%Medullary100%98%81%28%80%-86%75%Anaplastic(always stage IV)7%7% -14%(no data)",B
A 30-year-old restrained driver was involved in a motor-vehicle crash. He is hemodynamically stable and has a large seat belt sign on the abdomen. His abdomen is tender to palpation. In this patient one should be most concerned about:,Liver and spleen injury,Transection of the head of the pancreas,Renal pedicle avulsion,Hollow-viscus injuries,"While all the injuries listed are potential problems in this patient, the most severe is blunt hollow viscus injury. A delay in diagnosis beyond 12 hours is associated with increased morbidity and mortality. There may be very few physical signs of a viscus perforation and CT findings may be subtle and not definitive. A seat belt sign across the abdomen should raise suspicion of this injury and prompt an aggressive pursuit of diagnosis by serial examination and a consideration of a peritoneal lavage or repeat CT scan.",D
"In a vehicular accident, extensive contusions of brain due to acceleration and deceleration injury indicate what kind of injury?",Penetrating Injury,Coup-Countercoup Injury,Second Impact Syndrome,Crush injury,"Ans. b (Coup-Countercoup Injury). (Ref. Parikh's testbook of FMT 6th ed. 4.98)TRAUMATIC BRAIN INJURYTYPE OF INJURYCOMMENTSContusion# Can result from a direct impact to the head, and is a bruise (bleeding) on the brain.# Large contusions may require surgery.Coup-Countercoup Injury# Contusions at both the site of impact and the opposite side of the brain.# Occurs when the force impacting the head causes the brain to slam to the opposite side of the skull, shearing brain cells.# The result is a contusion at the original impact site, and on the opposite side.Second Impact Syndrome# Can occur when an individual sustains a second brain injury before the symptoms from the first have healed.# This second injury is more likely to cause swelling and widespread damage and requires immediate emergency medical treatment.# Longterm effects include muscle spasms, increased muscle tone, rapidly changing emotions, hallucinations and difficulty in thinking and learning.Diffuse Axonal Injury# Can be caused by shaking (acceleration-decceleration injury) or strong rotation of the head.# The unmoving brain lags behind movement of the skull, causing brain structures to tear.# It can produce damage, coma or death.# No obvious external injury may be evident, but patient may be unconscious/ comatose.# DWMRI is diagnostic.# Compression of cisterns and blurring of GW matter interface with petechial hem orrhages are notable findings on CT/MRI .Locked in SyndromeA rare neurological condition in which a person cannot move any part of the body, except the eyes.Victims are fully conscious and able to think and use blinking and eye gestures to communicate.",B
The Hunterian Ligature operation is performed for ?,Varicose veins,Aeriovenous fistulae,Aneurysm,Acute ischemia,"Ans. is 'c' i.e., Aneurysm The Hunterian Ligature operation is one of the many ligature operations performed for aneurysms, but ligature operations are becoming obsolete now. Other ligature methods are : a) Anel's method c) Wardrop's method b) Brasdor's method d) Antylus' method",C
The symptoms of hyperparathyroidism include:,Constipation and muscle weakness,Anorexia and weight loss,Polydipsia and polyuria,All of the above,"Ans. (d) All of the aboveClinical features of Hypoparathyroidism:* Weakness* Fatigue* Polydipsia, Polyuria, Nocturia,* Bone and Joint Pain* Constipation, Decreased appetite, heart burn* Pruritus* Depression* Memory loss* CapO4 and Ca. Oxalate Renal calculi",D
Which among the following is TRUE regarding mallet finger?,Avulsion of tendon at the base of the middle phalanx,Avulsion of extensor tendon at the base of the distal phalanx,Fracture of distal phalanx,Fracture of the proximal phalanx,"The mallet finger deformity is characterized by a loss of full active distal interphalangeal joint extension with full passive ROM evident. The mallet finger reflects the loss of normal extensor force transmission the terminal tendon inseion onto the distal phalanx. The unopposed flexor digitorum profundus pulls the distal joint into flexion. The usual mechanism of injury involves sudden passive flexion of the actively extended distal interphalangeal joint. Disruption of the terminal tendon may be entirely confined to the tendon or may involve an avulsed fracture fragment from the dorsal lip of the distal phalanx proximal aicular surface. Ref: Bednar M.S., Light T.R. (2006). Chapter 10. Hand Surgery. In H.B. Skinner (Ed), CURRENT Diagnosis & Treatment in Ohopedics, 4e.",B
